,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-01-31,13.02,14.88,8.33,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
1,2020-02-01,13.02,14.88,8.33,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
2,2020-02-02,14.58,16.67,11.11,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0
3,2020-02-03,14.58,16.67,11.11,0.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0
4,2020-02-04,14.58,16.67,11.11,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0
5,2020-02-05,14.58,16.67,11.11,0.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0
6,2020-02-06,14.58,16.67,11.11,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0
7,2020-02-07,14.58,16.67,11.11,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0
8,2020-02-08,14.58,16.67,11.11,0.0,13.0,4.0,2.0,0.0,0.0,0.0,0.0
9,2020-02-09,14.58,16.67,11.11,0.0,14.0,1.0,2.0,0.0,0.0,0.0,0.0
10,2020-02-10,14.58,16.67,11.11,0.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0
11,2020-02-11,14.58,16.67,11.11,0.0,15.0,1.0,2.0,0.0,0.0,0.0,0.0
12,2020-02-12,14.58,16.67,11.11,0.0,16.0,1.0,2.0,0.0,0.0,0.0,0.0
13,2020-02-13,14.58,16.67,11.11,0.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0
14,2020-02-14,14.58,16.67,11.11,0.0,18.0,1.0,2.0,0.0,0.0,0.0,0.0
15,2020-02-15,14.58,16.67,11.11,0.0,18.0,0.0,2.0,0.0,0.0,0.0,0.0
16,2020-02-16,14.58,16.67,11.11,0.0,18.0,0.0,2.0,0.0,0.0,0.0,0.0
17,2020-02-17,14.58,16.67,11.11,0.0,19.0,1.0,2.0,0.0,0.0,0.0,0.0
18,2020-02-18,14.58,16.67,11.11,0.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0
19,2020-02-19,14.58,16.67,11.11,0.0,20.0,1.0,2.0,0.0,0.0,0.0,0.0
20,2020-02-20,14.58,16.67,11.11,0.0,22.0,2.0,2.0,0.0,0.0,0.0,0.0
21,2020-02-21,14.58,16.67,11.11,0.0,23.0,1.0,2.0,0.0,0.0,0.0,0.0
22,2020-02-22,14.58,16.67,11.11,0.0,23.0,0.0,3.0,1.0,0.0,0.0,0.0
23,2020-02-23,14.58,16.67,11.11,0.0,28.0,5.0,3.0,0.0,0.0,0.0,0.0
24,2020-02-24,14.58,16.67,11.11,0.0,30.0,2.0,3.0,0.0,0.0,0.0,0.0
25,2020-02-25,14.58,16.67,11.11,0.0,34.0,4.0,3.0,0.0,0.0,0.0,0.0
26,2020-02-26,14.58,16.67,11.11,0.0,37.0,3.0,3.0,0.0,0.0,0.0,0.0
27,2020-02-27,14.58,16.67,11.11,0.0,44.0,7.0,3.0,0.0,0.0,0.0,0.0
28,2020-02-28,14.58,16.67,11.11,0.0,56.0,12.0,3.0,0.0,0.0,0.0,0.0
29,2020-02-29,14.58,16.67,11.11,0.0,61.0,5.0,3.0,0.0,0.0,0.0,0.0
30,2020-03-01,14.58,16.67,11.11,0.0,94.0,33.0,3.0,0.0,0.0,0.0,0.0
31,2020-03-02,14.58,16.67,11.11,0.0,134.0,40.0,4.0,1.0,0.0,0.0,0.0
32,2020-03-03,14.58,16.67,11.11,0.0,189.0,55.0,4.0,0.0,0.0,0.0,0.0
33,2020-03-04,14.58,16.67,11.11,0.0,245.0,56.0,5.0,1.0,0.0,0.0,0.0
34,2020-03-05,14.58,16.67,11.11,0.0,294.0,49.0,7.0,2.0,0.0,0.0,0.0
35,2020-03-06,14.58,16.67,11.11,0.0,373.0,79.0,9.0,2.0,0.0,0.0,0.0
36,2020-03-07,14.58,16.67,11.11,0.0,428.0,55.0,9.0,0.0,0.0,0.0,0.0
37,2020-03-08,14.58,16.67,11.11,0.0,482.0,54.0,11.0,2.0,0.0,0.0,0.0
38,2020-03-09,14.58,16.67,11.11,0.0,629.0,147.0,16.0,5.0,0.0,0.0,0.0
39,2020-03-10,14.58,16.67,11.11,0.0,887.0,258.0,19.0,3.0,0.0,0.0,0.0
40,2020-03-11,14.58,16.67,11.11,0.0,1298.0,411.0,26.0,7.0,0.0,0.0,0.0
41,2020-03-12,8.33,9.52,11.11,0.0,1787.0,489.0,39.0,13.0,0.0,0.0,0.0
42,2020-03-13,9.38,10.71,12.96,0.0,2266.0,479.0,55.0,16.0,0.0,0.0,0.0
43,2020-03-14,9.38,10.71,12.96,0.0,2630.0,364.0,76.0,21.0,0.0,0.0,0.0
44,2020-03-15,9.38,10.71,12.96,0.0,3072.0,442.0,107.0,31.0,0.0,0.0,0.0
45,2020-03-16,11.46,13.1,16.67,0.0,3684.0,612.0,158.0,51.0,0.0,0.0,0.0
46,2020-03-17,17.71,16.67,22.22,25.0,4452.0,768.0,216.0,58.0,0.0,0.0,0.0
47,2020-03-18,22.92,22.62,31.48,25.0,5451.0,999.0,289.0,73.0,0.0,0.0,0.0
48,2020-03-19,26.04,22.62,31.48,50.0,6506.0,1055.0,368.0,79.0,0.0,0.0,0.0
49,2020-03-20,33.85,26.19,37.04,87.5,7760.0,1254.0,486.0,118.0,0.0,0.0,0.0
50,2020-03-21,39.58,32.74,47.22,87.5,8957.0,1197.0,630.0,144.0,0.0,0.0,0.0
51,2020-03-22,47.92,42.26,62.04,87.5,10333.0,1376.0,813.0,183.0,0.0,0.0,0.0
52,2020-03-23,63.28,59.82,78.24,87.5,12668.0,2335.0,1021.0,208.0,0.0,0.0,0.0
53,2020-03-24,64.06,60.71,79.63,87.5,15039.0,2371.0,1284.0,263.0,0.0,0.0,0.0
54,2020-03-25,64.06,60.71,79.63,87.5,17732.0,2693.0,1621.0,337.0,0.0,0.0,0.0
55,2020-03-26,65.62,60.71,79.63,100.0,20816.0,3084.0,2034.0,413.0,0.0,0.0,0.0
56,2020-03-27,65.62,60.71,79.63,100.0,24017.0,3201.0,2497.0,463.0,0.0,0.0,0.0
57,2020-03-28,65.62,60.71,79.63,100.0,26839.0,2822.0,3013.0,516.0,0.0,0.0,0.0
58,2020-03-29,65.62,60.71,79.63,100.0,29696.0,2857.0,3599.0,586.0,0.0,0.0,0.0
59,2020-03-30,65.62,60.71,79.63,100.0,33969.0,4273.0,4310.0,711.0,0.0,0.0,0.0
60,2020-03-31,65.62,60.71,79.63,100.0,38484.0,4515.0,5141.0,831.0,0.0,0.0,0.0
61,2020-04-01,65.62,60.71,79.63,100.0,43398.0,4914.0,6065.0,924.0,0.0,0.0,0.0
62,2020-04-02,65.62,60.71,79.63,100.0,48263.0,4865.0,7072.0,1007.0,0.0,0.0,0.0
63,2020-04-03,65.62,60.71,79.63,100.0,53178.0,4915.0,8133.0,1061.0,0.0,0.0,0.0
64,2020-04-04,65.62,60.71,79.63,100.0,57198.0,4020.0,9280.0,1147.0,0.0,0.0,0.0
65,2020-04-05,65.62,60.71,79.63,100.0,60792.0,3594.0,10500.0,1220.0,0.0,0.0,0.0
66,2020-04-06,65.62,60.71,79.63,100.0,66067.0,5275.0,11670.0,1170.0,0.0,0.0,0.0
67,2020-04-07,65.62,60.71,79.63,100.0,71517.0,5450.0,12963.0,1293.0,0.0,0.0,0.0
68,2020-04-08,65.62,60.71,79.63,100.0,76646.0,5129.0,14424.0,1461.0,0.0,0.0,0.0
69,2020-04-09,65.62,60.71,79.63,100.0,81498.0,4852.0,15799.0,1375.0,0.0,0.0,0.0
70,2020-04-10,65.62,60.71,79.63,100.0,85813.0,4315.0,17118.0,1319.0,0.0,0.0,0.0
71,2020-04-11,65.62,60.71,79.63,100.0,89390.0,3577.0,18483.0,1365.0,0.0,0.0,0.0
72,2020-04-12,65.62,60.71,79.63,100.0,92885.0,3495.0,19861.0,1378.0,0.0,0.0,0.0
73,2020-04-13,65.62,60.71,79.63,100.0,97068.0,4183.0,21093.0,1232.0,0.0,0.0,0.0
74,2020-04-14,65.62,60.71,79.63,100.0,101393.0,4325.0,22347.0,1254.0,0.0,0.0,0.0
75,2020-04-15,65.62,60.71,79.63,100.0,106458.0,5065.0,23623.0,1276.0,0.0,0.0,0.0
76,2020-04-16,65.62,60.71,79.63,100.0,111756.0,5298.0,24945.0,1322.0,0.0,0.0,0.0
77,2020-04-17,65.62,60.71,79.63,100.0,116721.0,4965.0,26217.0,1272.0,0.0,0.0,0.0
78,2020-04-18,65.62,60.71,79.63,100.0,121437.0,4716.0,27406.0,1189.0,0.0,0.0,0.0
79,2020-04-19,65.62,60.71,79.63,100.0,125289.0,3852.0,28528.0,1122.0,0.0,0.0,0.0
80,2020-04-20,65.62,60.71,79.63,100.0,130147.0,4858.0,29688.0,1160.0,0.0,0.0,0.0
81,2020-04-21,65.62,60.71,79.63,100.0,134907.0,4760.0,30773.0,1085.0,0.0,0.0,0.0
82,2020-04-22,65.62,60.71,79.63,100.0,140397.0,5490.0,31875.0,1102.0,0.0,0.0,0.0
83,2020-04-23,65.62,60.71,79.63,100.0,145540.0,5143.0,32913.0,1038.0,0.0,0.0,0.0
84,2020-04-24,65.62,60.71,79.63,100.0,150513.0,4973.0,33918.0,1005.0,0.0,0.0,0.0
85,2020-04-25,65.62,60.71,79.63,100.0,154261.0,3748.0,34837.0,919.0,0.0,0.0,0.0
86,2020-04-26,65.62,60.71,79.63,100.0,157729.0,3468.0,35731.0,894.0,0.0,0.0,0.0
87,2020-04-27,65.62,60.71,79.63,100.0,162431.0,4702.0,36597.0,866.0,0.0,0.0,0.0
88,2020-04-28,66.41,61.61,79.63,100.0,167152.0,4721.0,37398.0,801.0,0.0,0.0,0.0
89,2020-04-29,66.41,61.61,79.63,100.0,172587.0,5435.0,38215.0,817.0,0.0,0.0,0.0
90,2020-04-30,66.41,61.61,79.63,100.0,177543.0,4956.0,38995.0,780.0,0.0,0.0,0.0
91,2020-05-01,66.41,61.61,79.63,100.0,182270.0,4727.0,39781.0,786.0,0.0,0.0,0.0
92,2020-05-02,66.41,61.61,79.63,100.0,185491.0,3221.0,40486.0,705.0,0.0,0.0,0.0
93,2020-05-03,66.41,61.61,79.63,100.0,188465.0,2974.0,41148.0,662.0,0.0,0.0,0.0
94,2020-05-04,66.41,61.61,79.63,100.0,191843.0,3378.0,41824.0,676.0,0.0,0.0,0.0
95,2020-05-05,66.41,61.61,79.63,100.0,195527.0,3684.0,42466.0,642.0,0.0,0.0,0.0
96,2020-05-06,66.41,61.61,79.63,100.0,199358.0,3831.0,43093.0,627.0,0.0,0.0,0.0
97,2020-05-07,66.41,61.61,79.63,100.0,203125.0,3767.0,43724.0,631.0,0.0,0.0,0.0
98,2020-05-08,66.41,61.61,79.63,100.0,206174.0,3049.0,44293.0,569.0,0.0,0.0,0.0
99,2020-05-09,66.41,61.61,79.63,100.0,208324.0,2150.0,44832.0,539.0,0.0,0.0,0.0
100,2020-05-10,66.41,61.61,79.63,100.0,210645.0,2321.0,45326.0,494.0,0.0,0.0,0.0
101,2020-05-11,65.36,60.42,77.78,100.0,214228.0,3583.0,45754.0,428.0,0.0,0.0,0.0
102,2020-05-12,65.36,60.42,77.78,100.0,217617.0,3389.0,46195.0,441.0,0.0,0.0,0.0
103,2020-05-13,61.72,56.25,71.3,100.0,220915.0,3298.0,46649.0,454.0,0.0,0.0,0.0
104,2020-05-14,61.72,56.25,71.3,100.0,223524.0,2609.0,47114.0,465.0,0.0,0.0,0.0
105,2020-05-15,61.72,56.25,71.3,100.0,226041.0,2517.0,47535.0,421.0,0.0,0.0,0.0
106,2020-05-16,61.72,56.25,71.3,100.0,228106.0,2065.0,47954.0,419.0,0.0,0.0,0.0
107,2020-05-17,61.72,56.25,71.3,100.0,229932.0,1826.0,48331.0,377.0,0.0,0.0,0.0
108,2020-05-18,63.8,58.63,71.3,100.0,232506.0,2574.0,48738.0,407.0,0.0,0.0,0.0
109,2020-05-19,63.8,58.63,71.3,100.0,235547.0,3041.0,49110.0,372.0,0.0,0.0,0.0
110,2020-05-20,63.8,58.63,71.3,100.0,238253.0,2706.0,49463.0,353.0,0.0,0.0,0.0
111,2020-05-21,63.8,58.63,71.3,100.0,240795.0,2542.0,49805.0,342.0,0.0,0.0,0.0
112,2020-05-22,63.8,58.63,71.3,100.0,242825.0,2030.0,50105.0,300.0,0.0,0.0,0.0
113,2020-05-23,63.8,58.63,71.3,100.0,244332.0,1507.0,50389.0,284.0,0.0,0.0,0.0
114,2020-05-24,63.8,58.63,71.3,100.0,245680.0,1348.0,50670.0,281.0,0.0,0.0,0.0
115,2020-05-25,63.8,58.63,71.3,100.0,247287.0,1607.0,50949.0,279.0,0.0,0.0,0.0
116,2020-05-26,63.8,58.63,71.3,100.0,248937.0,1650.0,51249.0,300.0,0.0,0.0,0.0
117,2020-05-27,66.93,62.2,71.3,100.0,250739.0,1802.0,51531.0,282.0,0.0,0.0,0.0
118,2020-05-28,66.93,62.2,71.3,100.0,252473.0,1734.0,51819.0,288.0,0.0,0.0,0.0
119,2020-05-29,65.89,61.01,69.44,100.0,253977.0,1504.0,52073.0,254.0,0.0,0.0,0.0
120,2020-05-30,65.89,61.01,69.44,100.0,255076.0,1099.0,52292.0,219.0,0.0,0.0,0.0
121,2020-05-31,65.89,61.01,69.44,100.0,256145.0,1069.0,52487.0,195.0,0.0,0.0,0.0
122,2020-06-01,67.97,63.39,67.59,100.0,257579.0,1434.0,52686.0,199.0,0.0,0.0,0.0
123,2020-06-02,67.97,63.39,67.59,100.0,259046.0,1467.0,52919.0,233.0,0.0,0.0,0.0
124,2020-06-03,67.97,63.39,67.59,100.0,260388.0,1342.0,53122.0,203.0,0.0,0.0,0.0
125,2020-06-04,67.97,63.39,67.59,100.0,261622.0,1234.0,53305.0,183.0,0.0,0.0,0.0
126,2020-06-05,67.97,63.39,67.59,100.0,262727.0,1105.0,53489.0,184.0,0.0,0.0,0.0
127,2020-06-06,67.97,63.39,67.59,100.0,263518.0,791.0,53640.0,151.0,0.0,0.0,0.0
128,2020-06-07,67.97,63.39,67.59,100.0,264235.0,717.0,53803.0,163.0,0.0,0.0,0.0
129,2020-06-08,71.09,66.96,73.15,100.0,265321.0,1086.0,53964.0,161.0,0.0,0.0,0.0
130,2020-06-09,71.09,66.96,73.15,100.0,266474.0,1153.0,54101.0,137.0,0.0,0.0,0.0
131,2020-06-10,71.09,66.96,73.15,100.0,267656.0,1182.0,54267.0,166.0,0.0,0.0,0.0
132,2020-06-11,71.09,66.96,73.15,100.0,268657.0,1001.0,54388.0,121.0,0.0,0.0,0.0
133,2020-06-12,71.09,66.96,73.15,100.0,269710.0,1053.0,54523.0,135.0,0.0,0.0,0.0
134,2020-06-13,71.09,66.96,73.15,100.0,270597.0,887.0,54624.0,101.0,0.0,0.0,0.0
135,2020-06-14,71.09,66.96,73.15,100.0,271404.0,807.0,54760.0,136.0,0.0,0.0,0.0
136,2020-06-15,70.05,65.77,71.3,100.0,272430.0,1026.0,54867.0,107.0,0.0,0.0,0.0
137,2020-06-16,70.05,65.77,71.3,100.0,273507.0,1077.0,54987.0,120.0,0.0,0.0,0.0
138,2020-06-17,70.05,65.77,71.3,100.0,274504.0,997.0,55092.0,105.0,0.0,0.0,0.0
139,2020-06-18,70.05,65.77,71.3,100.0,275524.0,1020.0,55182.0,90.0,0.0,0.0,0.0
140,2020-06-19,70.05,65.77,71.3,100.0,276504.0,980.0,55270.0,88.0,0.0,0.0,0.0
141,2020-06-20,70.05,65.77,71.3,100.0,277170.0,666.0,55357.0,87.0,0.0,0.0,0.0
142,2020-06-21,70.05,65.77,71.3,100.0,277792.0,622.0,55437.0,80.0,0.0,0.0,0.0
143,2020-06-22,71.61,67.56,71.3,100.0,278684.0,892.0,55520.0,83.0,0.0,0.0,0.0
144,2020-06-23,71.61,67.56,71.3,100.0,279566.0,882.0,55617.0,97.0,0.0,0.0,0.0
145,2020-06-24,71.61,67.56,71.3,100.0,280340.0,774.0,55718.0,101.0,0.0,0.0,0.0
146,2020-06-25,71.61,67.56,71.3,100.0,281037.0,697.0,55826.0,108.0,0.0,0.0,0.0
147,2020-06-26,71.61,67.56,71.3,100.0,281675.0,638.0,55905.0,79.0,0.0,0.0,0.0
148,2020-06-27,71.61,67.56,71.3,100.0,282308.0,633.0,55978.0,73.0,0.0,0.0,0.0
149,2020-06-28,71.61,67.56,71.3,100.0,282703.0,395.0,56049.0,71.0,0.0,0.0,0.0
150,2020-06-29,71.61,67.56,71.3,100.0,283307.0,604.0,56118.0,69.0,0.0,0.0,0.0
151,2020-06-30,71.61,67.56,71.3,100.0,283710.0,403.0,56199.0,81.0,0.0,0.0,0.0
152,2020-07-01,71.61,67.56,71.3,100.0,283770.0,60.0,56253.0,54.0,0.0,0.0,0.0
153,2020-07-02,71.61,67.56,71.3,100.0,283774.0,4.0,56314.0,61.0,0.0,0.0,0.0
154,2020-07-03,71.61,67.56,71.3,100.0,284276.0,502.0,56362.0,48.0,0.0,0.0,0.0
155,2020-07-04,70.83,66.67,69.91,100.0,284900.0,624.0,56414.0,52.0,0.0,0.0,0.0
156,2020-07-05,70.83,66.67,69.91,100.0,285416.0,516.0,56466.0,52.0,0.0,0.0,0.0
157,2020-07-06,66.67,61.9,64.35,100.0,285768.0,352.0,56520.0,54.0,0.0,0.0,0.0
158,2020-07-07,66.67,61.9,64.35,100.0,286349.0,581.0,56563.0,43.0,0.0,0.0,0.0
159,2020-07-08,66.67,61.9,64.35,100.0,286979.0,630.0,56610.0,47.0,0.0,0.0,0.0
160,2020-07-09,66.67,61.9,64.35,100.0,287621.0,642.0,56671.0,61.0,0.0,0.0,0.0
161,2020-07-10,66.67,61.9,64.35,100.0,288133.0,512.0,56715.0,44.0,0.0,0.0,0.0
162,2020-07-11,66.67,61.9,64.35,100.0,288953.0,820.0,56753.0,38.0,0.0,0.0,0.0
163,2020-07-12,66.67,61.9,64.35,100.0,289603.0,650.0,56785.0,32.0,0.0,0.0,0.0
164,2020-07-13,66.67,61.9,64.35,100.0,290133.0,530.0,56830.0,45.0,0.0,0.0,0.0
165,2020-07-14,66.67,61.9,64.35,100.0,291373.0,1240.0,56872.0,42.0,0.0,0.0,0.0
166,2020-07-15,66.67,61.9,64.35,100.0,291911.0,538.0,56913.0,41.0,0.0,0.0,0.0
167,2020-07-16,66.67,61.9,64.35,100.0,292552.0,641.0,56934.0,21.0,0.0,0.0,0.0
168,2020-07-17,66.67,61.9,64.35,100.0,293239.0,687.0,56968.0,34.0,0.0,0.0,0.0
169,2020-07-18,66.67,61.9,64.35,100.0,294066.0,827.0,56999.0,31.0,0.0,0.0,0.0
170,2020-07-19,66.67,61.9,64.35,100.0,294792.0,726.0,57023.0,24.0,0.0,0.0,0.0
171,2020-07-20,66.67,61.9,64.35,100.0,295372.0,580.0,57054.0,31.0,0.0,0.0,0.0
172,2020-07-21,66.67,61.9,64.35,100.0,295817.0,445.0,57085.0,31.0,0.0,0.0,0.0
173,2020-07-22,66.67,61.9,64.35,100.0,296377.0,560.0,57119.0,34.0,0.0,0.0,0.0
174,2020-07-23,66.67,61.9,64.35,100.0,297146.0,769.0,57155.0,36.0,0.0,0.0,0.0
175,2020-07-24,66.67,61.9,64.35,100.0,297914.0,768.0,57174.0,19.0,0.0,0.0,0.0
176,2020-07-25,66.67,61.9,64.35,100.0,298681.0,767.0,57197.0,23.0,0.0,0.0,0.0
177,2020-07-26,66.67,61.9,64.35,100.0,299426.0,745.0,57229.0,32.0,0.0,0.0,0.0
178,2020-07-27,66.67,61.9,64.35,100.0,300111.0,685.0,57247.0,18.0,0.0,0.0,0.0
179,2020-07-28,66.67,61.9,64.35,100.0,300658.0,547.0,57273.0,26.0,0.0,0.0,0.0
180,2020-07-29,66.67,61.9,64.35,100.0,301455.0,797.0,57301.0,28.0,0.0,0.0,0.0
181,2020-07-30,66.67,61.9,64.35,100.0,302301.0,846.0,57318.0,17.0,0.0,0.0,0.0
182,2020-07-31,66.67,61.9,64.35,100.0,303181.0,880.0,57349.0,31.0,0.0,0.0,0.0
183,2020-08-01,69.79,65.48,69.91,100.0,303942.0,761.0,57369.0,20.0,0.0,0.0,0.0
184,2020-08-02,69.79,65.48,69.91,100.0,304685.0,743.0,57386.0,17.0,0.0,0.0,0.0
185,2020-08-03,69.79,65.48,69.91,100.0,305623.0,938.0,57409.0,23.0,0.0,0.0,0.0
186,2020-08-04,69.79,65.48,69.91,100.0,306293.0,670.0,57436.0,27.0,0.0,0.0,0.0
187,2020-08-05,69.79,65.48,69.91,100.0,307184.0,891.0,57449.0,13.0,0.0,0.0,0.0
188,2020-08-06,69.79,65.48,69.91,100.0,308134.0,950.0,57470.0,21.0,0.0,0.0,0.0
189,2020-08-07,69.79,65.48,69.91,100.0,309005.0,871.0,57494.0,24.0,0.0,0.0,0.0
190,2020-08-08,69.79,65.48,69.91,100.0,309763.0,758.0,57516.0,22.0,0.0,0.0,0.0
191,2020-08-09,69.79,65.48,69.91,100.0,310825.0,1062.0,57535.0,19.0,0.0,0.0,0.0
192,2020-08-10,69.79,65.48,69.91,100.0,311641.0,816.0,57560.0,25.0,0.0,0.0,0.0
193,2020-08-11,69.79,65.48,69.91,100.0,312789.0,1148.0,57580.0,20.0,0.0,0.0,0.0
194,2020-08-12,69.79,65.48,69.91,100.0,313798.0,1009.0,57604.0,24.0,0.0,0.0,0.0
195,2020-08-13,67.71,63.1,66.2,100.0,314927.0,1129.0,57627.0,23.0,0.0,0.0,0.0
196,2020-08-14,67.71,63.1,66.2,100.0,316367.0,1440.0,57645.0,18.0,0.0,0.0,0.0
197,2020-08-15,67.71,63.1,66.2,100.0,317379.0,1012.0,57668.0,23.0,0.0,0.0,0.0
198,2020-08-16,67.71,63.1,66.2,100.0,318484.0,1105.0,57683.0,15.0,0.0,0.0,0.0
199,2020-08-17,69.27,64.88,66.2,100.0,319197.0,713.0,57704.0,21.0,0.0,0.0,0.0
200,2020-08-18,69.27,64.88,66.2,100.0,320286.0,1089.0,57719.0,15.0,0.0,0.0,0.0
201,2020-08-19,69.27,64.88,66.2,100.0,321098.0,812.0,57732.0,13.0,0.0,0.0,0.0
202,2020-08-20,69.27,64.88,66.2,100.0,322280.0,1182.0,57748.0,16.0,0.0,0.0,0.0
203,2020-08-21,69.27,64.88,66.2,100.0,323313.0,1033.0,57758.0,10.0,0.0,0.0,0.0
204,2020-08-22,69.27,64.88,66.2,100.0,324601.0,1288.0,57770.0,12.0,0.0,0.0,0.0
205,2020-08-23,69.27,64.88,66.2,100.0,325642.0,1041.0,57787.0,17.0,0.0,0.0,0.0
206,2020-08-24,69.27,64.88,66.2,100.0,326614.0,972.0,57797.0,10.0,0.0,0.0,0.0
207,2020-08-25,69.27,64.88,66.2,100.0,327798.0,1184.0,57819.0,22.0,0.0,0.0,0.0
208,2020-08-26,69.27,64.88,66.2,100.0,328846.0,1048.0,57835.0,16.0,0.0,0.0,0.0
209,2020-08-27,69.27,64.88,66.2,100.0,330368.0,1522.0,57847.0,12.0,0.0,0.0,0.0
210,2020-08-28,69.27,64.88,66.2,100.0,331644.0,1276.0,57859.0,12.0,0.0,0.0,0.0
211,2020-08-29,69.27,64.88,66.2,100.0,332752.0,1108.0,57867.0,8.0,0.0,0.0,0.0
212,2020-08-30,66.15,61.31,66.2,100.0,334467.0,1715.0,57878.0,11.0,0.0,0.0,0.0
213,2020-08-31,66.15,61.31,66.2,100.0,335873.0,1406.0,57896.0,18.0,0.0,0.0,0.0
214,2020-09-01,65.1,60.12,64.35,100.0,337168.0,1295.0,57907.0,11.0,0.0,0.0,0.0
215,2020-09-02,65.1,60.12,64.35,100.0,338676.0,1508.0,57922.0,15.0,0.0,0.0,0.0
216,2020-09-03,65.1,60.12,64.35,100.0,340411.0,1735.0,57931.0,9.0,0.0,0.0,0.0
217,2020-09-04,65.1,60.12,64.35,100.0,342351.0,1940.0,57946.0,15.0,0.0,0.0,0.0
218,2020-09-05,65.1,60.12,64.35,100.0,344164.0,1813.0,57960.0,14.0,0.0,0.0,0.0
219,2020-09-06,65.1,60.12,64.35,100.0,347152.0,2988.0,57973.0,13.0,0.0,0.0,0.0
220,2020-09-07,65.1,60.12,64.35,100.0,350100.0,2948.0,57997.0,24.0,0.0,0.0,0.0
221,2020-09-08,65.1,60.12,64.35,100.0,352560.0,2460.0,58013.0,16.0,0.0,0.0,0.0
222,2020-09-09,65.1,60.12,64.35,100.0,355219.0,2659.0,58027.0,14.0,0.0,0.0,0.0
223,2020-09-10,65.1,60.12,64.35,100.0,358138.0,2919.0,58043.0,16.0,0.0,0.0,0.0
224,2020-09-11,65.1,60.12,64.35,100.0,361677.0,3539.0,58063.0,20.0,0.0,0.0,0.0
225,2020-09-12,65.1,60.12,64.35,100.0,365174.0,3497.0,58086.0,23.0,0.0,0.0,0.0
226,2020-09-13,65.1,60.12,64.35,100.0,368504.0,3330.0,58106.0,20.0,0.0,0.0,0.0
227,2020-09-14,65.89,61.01,65.74,100.0,371125.0,2621.0,58127.0,21.0,0.0,0.0,0.0
228,2020-09-15,65.89,61.01,65.74,100.0,374228.0,3103.0,58153.0,26.0,0.0,0.0,0.0
229,2020-09-16,65.89,61.01,65.74,100.0,378219.0,3991.0,58184.0,31.0,0.0,0.0,0.0
230,2020-09-17,65.89,61.01,65.74,100.0,381614.0,3395.0,58222.0,38.0,0.0,0.0,0.0
231,2020-09-18,65.89,61.01,65.74,100.0,385936.0,4322.0,58252.0,30.0,0.0,0.0,0.0
232,2020-09-19,65.89,61.01,65.74,100.0,390358.0,4422.0,58277.0,25.0,0.0,0.0,0.0
233,2020-09-20,65.89,61.01,65.74,100.0,394257.0,3899.0,58317.0,40.0,0.0,0.0,0.0
234,2020-09-21,65.89,61.01,65.74,100.0,398625.0,4368.0,58347.0,30.0,0.0,0.0,0.0
235,2020-09-22,65.89,61.01,65.74,100.0,403551.0,4926.0,58386.0,39.0,0.0,0.0,0.0
236,2020-09-23,65.89,61.01,65.74,100.0,409729.0,6178.0,58444.0,58.0,0.0,0.0,0.0
237,2020-09-24,66.93,62.2,67.59,100.0,416363.0,6634.0,58478.0,34.0,0.0,0.0,0.0
238,2020-09-25,66.93,62.2,67.59,100.0,423236.0,6873.0,58518.0,40.0,0.0,0.0,0.0
239,2020-09-26,66.93,62.2,67.59,100.0,429277.0,6041.0,58565.0,47.0,0.0,0.0,0.0
240,2020-09-27,66.93,62.2,67.59,100.0,434969.0,5692.0,58621.0,56.0,0.0,0.0,0.0
241,2020-09-28,66.93,62.2,67.59,100.0,439013.0,4044.0,58676.0,55.0,0.0,0.0,0.0
242,2020-09-29,66.93,62.2,67.59,100.0,446156.0,7143.0,58724.0,48.0,0.0,0.0,0.0
243,2020-09-30,66.93,62.2,67.59,100.0,453264.0,7108.0,58785.0,61.0,0.0,0.0,0.0
244,2020-10-01,66.93,62.2,67.59,100.0,460178.0,6914.0,58856.0,71.0,0.0,0.0,0.0
245,2020-10-02,66.93,62.2,67.59,100.0,467146.0,6968.0,58930.0,74.0,0.0,0.0,0.0
246,2020-10-03,66.93,62.2,67.59,100.0,480017.0,12871.0,59000.0,70.0,0.0,0.0,0.0
247,2020-10-04,66.93,62.2,67.59,100.0,502978.0,22961.0,59063.0,63.0,0.0,0.0,0.0
248,2020-10-05,66.93,62.2,67.59,100.0,515571.0,12593.0,59131.0,68.0,0.0,0.0,0.0
249,2020-10-06,66.93,62.2,67.59,100.0,530113.0,14542.0,59215.0,84.0,0.0,0.0,0.0
250,2020-10-07,66.93,62.2,67.59,100.0,544275.0,14162.0,59325.0,110.0,0.0,0.0,0.0
