,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2021-10-29,40.73,46.55,43.52,0.0,1.0,1.0,0.0,0.0,48.15,31.56,0.0
1,2021-10-30,40.73,46.55,43.52,0.0,1.0,0.0,0.0,0.0,48.15,31.56,0.0
2,2021-10-31,40.73,46.55,43.52,0.0,1.0,0.0,0.0,0.0,48.15,31.56,0.0
3,2021-11-01,40.73,46.55,43.52,0.0,1.0,0.0,0.0,0.0,51.43,35.07,0.0
4,2021-11-02,62.86,71.85,82.87,0.0,1.0,0.0,0.0,0.0,51.43,35.07,0.0
5,2021-11-03,62.86,71.85,82.87,0.0,1.0,0.0,0.0,0.0,51.43,35.07,0.0
6,2021-11-04,62.86,71.85,82.87,0.0,1.0,0.0,0.0,0.0,51.43,35.07,0.0
7,2021-11-05,62.86,71.85,82.87,0.0,1.0,0.0,0.0,0.0,51.43,35.07,0.0
8,2021-11-06,62.86,71.85,82.87,0.0,1.0,0.0,0.0,0.0,51.43,35.07,0.0
9,2021-11-07,62.86,71.85,82.87,0.0,1.0,0.0,0.0,0.0,51.43,35.07,0.0
10,2021-11-08,62.86,71.85,82.87,0.0,1.0,0.0,0.0,0.0,51.43,35.07,0.0
11,2021-11-09,42.81,48.93,47.22,0.0,1.0,0.0,0.0,0.0,51.43,35.07,0.0
12,2021-11-10,42.81,48.93,47.22,0.0,1.0,0.0,0.0,0.0,51.43,35.07,0.0
13,2021-11-11,42.81,48.93,47.22,0.0,1.0,0.0,0.0,0.0,51.43,35.07,0.0
14,2021-11-12,42.81,48.93,47.22,0.0,1.0,0.0,0.0,0.0,51.43,35.07,0.0
15,2021-11-13,42.81,48.93,47.22,0.0,1.0,0.0,0.0,0.0,51.43,35.07,0.0
16,2021-11-14,42.81,48.93,47.22,0.0,1.0,0.0,0.0,0.0,51.43,35.07,0.0
17,2021-11-15,42.81,48.93,47.22,0.0,1.0,0.0,0.0,0.0,59.67,37.08,0.0
18,2021-11-16,42.81,48.93,47.22,0.0,1.0,0.0,0.0,0.0,59.67,37.08,0.0
19,2021-11-17,42.81,48.93,47.22,0.0,1.0,0.0,0.0,0.0,59.67,37.08,0.0
20,2021-11-18,42.81,48.93,47.22,0.0,1.0,0.0,0.0,0.0,59.67,37.08,0.0
21,2021-11-19,42.81,48.93,47.22,0.0,1.0,0.0,0.0,0.0,59.67,37.08,0.0
22,2021-11-20,42.81,48.93,47.22,0.0,1.0,0.0,0.0,0.0,59.67,37.08,0.0
23,2021-11-21,42.81,48.93,47.22,0.0,1.0,0.0,0.0,0.0,59.67,37.08,0.0
24,2021-11-22,42.81,48.93,47.22,0.0,1.0,0.0,0.0,0.0,68.57,41.56,0.0
25,2021-11-23,42.81,48.93,47.22,0.0,1.0,0.0,0.0,0.0,68.57,41.56,0.0
26,2021-11-24,42.81,48.93,47.22,0.0,1.0,0.0,0.0,0.0,68.57,41.56,0.0
27,2021-11-25,42.81,48.93,47.22,0.0,1.0,0.0,0.0,0.0,68.57,41.56,0.0
28,2021-11-26,42.81,48.93,47.22,0.0,1.0,0.0,0.0,0.0,68.57,41.56,0.0
29,2021-11-27,42.81,48.93,47.22,0.0,1.0,0.0,0.0,0.0,68.57,41.56,0.0
30,2021-11-28,42.81,48.93,47.22,0.0,1.0,0.0,0.0,0.0,68.57,41.56,0.0
31,2021-11-29,42.81,48.93,47.22,0.0,1.0,0.0,0.0,0.0,68.57,41.56,0.0
32,2021-11-30,42.81,48.93,47.22,0.0,1.0,0.0,0.0,0.0,69.03,42.45,0.0
33,2021-12-01,42.81,48.93,47.22,0.0,1.0,0.0,0.0,0.0,69.03,42.45,0.0
34,2021-12-02,42.81,48.93,47.22,0.0,1.0,0.0,0.0,0.0,69.03,42.45,0.0
35,2021-12-03,42.81,48.93,47.22,0.0,1.0,0.0,0.0,0.0,69.03,42.45,0.0
36,2021-12-04,42.81,48.93,47.22,0.0,1.0,0.0,0.0,0.0,69.03,42.45,0.0
37,2021-12-05,42.81,48.93,47.22,0.0,1.0,0.0,0.0,0.0,69.03,42.45,0.0
38,2021-12-06,48.44,55.36,52.78,0.0,1.0,0.0,0.0,0.0,69.14,43.61,0.0
39,2021-12-07,48.44,55.36,52.78,0.0,1.0,0.0,0.0,0.0,69.14,43.61,0.0
40,2021-12-08,45.31,51.79,47.22,0.0,1.0,0.0,0.0,0.0,69.14,43.61,0.0
41,2021-12-09,45.31,51.79,47.22,0.0,1.0,0.0,0.0,0.0,69.14,43.61,0.0
42,2021-12-10,45.31,51.79,47.22,0.0,1.0,0.0,0.0,0.0,69.14,43.61,0.0
43,2021-12-11,45.31,51.79,47.22,0.0,1.0,0.0,0.0,0.0,69.14,43.61,0.0
44,2021-12-12,45.31,51.79,47.22,0.0,1.0,0.0,0.0,0.0,69.14,43.61,0.0
45,2021-12-13,45.31,51.79,47.22,0.0,1.0,0.0,0.0,0.0,69.14,43.61,0.0
46,2021-12-14,45.31,51.79,47.22,0.0,1.0,0.0,0.0,0.0,69.14,43.61,0.0
47,2021-12-15,45.31,51.79,47.22,0.0,1.0,0.0,0.0,0.0,69.14,43.61,0.0
48,2021-12-16,45.31,51.79,47.22,0.0,1.0,0.0,0.0,0.0,69.14,43.61,0.0
49,2021-12-17,45.31,51.79,47.22,0.0,1.0,0.0,0.0,0.0,69.14,43.61,0.0
