,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-02-25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-02-26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-02-27,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-02-28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-02-29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-02,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-03,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-04,0.0,0.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-05,3.12,3.57,5.56,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-06,3.12,3.57,5.56,0.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-07,3.12,3.57,5.56,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-08,3.12,3.57,5.56,0.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-09,3.12,3.57,5.56,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-10,9.38,10.71,16.67,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-11,9.38,10.71,16.67,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-12,17.19,19.64,30.56,0.0,24.0,4.0,1.0,1.0,0.0,0.0,0.0
17,2020-03-13,17.19,19.64,30.56,0.0,26.0,2.0,2.0,1.0,0.0,0.0,0.0
18,2020-03-14,20.31,23.21,36.11,0.0,37.0,11.0,3.0,1.0,0.0,0.0,0.0
19,2020-03-15,20.31,23.21,36.11,0.0,48.0,11.0,4.0,1.0,0.0,0.0,0.0
20,2020-03-16,20.31,23.21,36.11,0.0,54.0,6.0,4.0,0.0,0.0,0.0,0.0
21,2020-03-17,21.88,25.0,38.89,0.0,60.0,6.0,4.0,0.0,0.0,0.0,0.0
22,2020-03-18,21.88,25.0,38.89,0.0,74.0,14.0,7.0,3.0,0.0,0.0,0.0
23,2020-03-19,21.88,25.0,38.89,0.0,87.0,13.0,9.0,2.0,0.0,0.0,0.0
24,2020-03-20,21.88,25.0,38.89,0.0,90.0,3.0,11.0,2.0,0.0,0.0,0.0
25,2020-03-21,21.88,25.0,38.89,0.0,139.0,49.0,15.0,4.0,0.0,0.0,0.0
26,2020-03-22,23.96,27.38,38.89,0.0,201.0,62.0,17.0,2.0,0.0,0.0,0.0
27,2020-03-23,49.48,56.55,75.0,0.0,230.0,29.0,17.0,0.0,0.0,0.0,0.0
28,2020-03-24,49.48,56.55,75.0,0.0,264.0,34.0,19.0,2.0,0.0,0.0,0.0
29,2020-03-25,49.48,56.55,75.0,0.0,302.0,38.0,21.0,2.0,0.0,0.0,0.0
30,2020-03-26,49.48,56.55,75.0,0.0,367.0,65.0,25.0,4.0,0.0,0.0,0.0
31,2020-03-27,49.48,56.55,75.0,0.0,409.0,42.0,26.0,1.0,0.0,0.0,0.0
32,2020-03-28,49.48,56.55,75.0,0.0,454.0,45.0,29.0,3.0,0.0,0.0,0.0
33,2020-03-29,49.48,56.55,75.0,0.0,511.0,57.0,31.0,2.0,0.0,0.0,0.0
34,2020-03-30,55.99,63.99,86.57,0.0,584.0,73.0,35.0,4.0,0.0,0.0,0.0
35,2020-03-31,55.99,63.99,86.57,0.0,716.0,132.0,44.0,9.0,0.0,0.0,0.0
36,2020-04-01,55.99,63.99,86.57,0.0,847.0,131.0,58.0,14.0,0.0,0.0,0.0
37,2020-04-02,55.99,63.99,86.57,0.0,986.0,139.0,86.0,28.0,0.0,0.0,0.0
38,2020-04-03,55.99,63.99,86.57,0.0,1171.0,185.0,105.0,19.0,0.0,0.0,0.0
39,2020-04-04,59.11,63.99,86.57,25.0,1251.0,80.0,130.0,25.0,0.0,0.0,0.0
40,2020-04-05,59.11,63.99,86.57,25.0,1320.0,69.0,152.0,22.0,0.0,0.0,0.0
41,2020-04-06,59.11,63.99,86.57,25.0,1423.0,103.0,173.0,21.0,0.0,0.0,0.0
42,2020-04-07,59.11,63.99,86.57,25.0,1468.0,45.0,193.0,20.0,0.0,0.0,0.0
43,2020-04-08,59.11,63.99,86.57,25.0,1572.0,104.0,205.0,12.0,0.0,0.0,0.0
44,2020-04-09,59.11,63.99,86.57,25.0,1666.0,94.0,235.0,30.0,0.0,0.0,0.0
45,2020-04-10,59.11,63.99,86.57,25.0,1761.0,95.0,256.0,21.0,0.0,0.0,0.0
46,2020-04-11,59.11,63.99,86.57,25.0,1825.0,64.0,275.0,19.0,0.0,0.0,0.0
47,2020-04-12,59.11,63.99,86.57,25.0,1914.0,89.0,293.0,18.0,0.0,0.0,0.0
48,2020-04-13,60.68,63.99,86.57,37.5,1983.0,69.0,313.0,20.0,0.0,0.0,0.0
49,2020-04-14,63.8,67.56,92.13,37.5,2070.0,87.0,326.0,13.0,0.0,0.0,0.0
50,2020-04-15,63.8,67.56,92.13,37.5,2160.0,90.0,336.0,10.0,0.0,0.0,0.0
51,2020-04-16,63.8,67.56,92.13,37.5,2268.0,108.0,348.0,12.0,0.0,0.0,0.0
52,2020-04-17,63.8,67.56,92.13,37.5,2418.0,150.0,364.0,16.0,0.0,0.0,0.0
53,2020-04-18,63.8,67.56,92.13,37.5,2534.0,116.0,367.0,3.0,0.0,0.0,0.0
54,2020-04-19,63.8,67.56,92.13,37.5,2629.0,95.0,375.0,8.0,0.0,0.0,0.0
55,2020-04-20,63.8,67.56,92.13,37.5,2718.0,89.0,384.0,9.0,0.0,0.0,0.0
56,2020-04-21,63.8,67.56,92.13,37.5,2811.0,93.0,392.0,8.0,0.0,0.0,0.0
57,2020-04-22,63.8,67.56,92.13,37.5,2910.0,99.0,402.0,10.0,0.0,0.0,0.0
58,2020-04-23,68.49,72.92,92.13,37.5,3007.0,97.0,407.0,5.0,0.0,0.0,0.0
59,2020-04-24,53.12,55.36,76.85,37.5,3127.0,120.0,415.0,8.0,0.0,0.0,0.0
60,2020-04-25,53.12,55.36,76.85,37.5,3256.0,129.0,419.0,4.0,0.0,0.0,0.0
61,2020-04-26,53.12,55.36,76.85,37.5,3382.0,126.0,425.0,6.0,0.0,0.0,0.0
62,2020-04-27,53.12,55.36,76.85,37.5,3517.0,135.0,432.0,7.0,0.0,0.0,0.0
63,2020-04-28,53.12,55.36,76.85,37.5,3649.0,132.0,437.0,5.0,0.0,0.0,0.0
64,2020-04-29,53.12,55.36,76.85,37.5,3848.0,199.0,444.0,7.0,0.0,0.0,0.0
65,2020-04-30,53.12,55.36,76.85,37.5,4006.0,158.0,450.0,6.0,0.0,0.0,0.0
66,2020-05-01,53.12,55.36,76.85,37.5,4154.0,148.0,453.0,3.0,0.0,0.0,0.0
67,2020-05-02,53.12,55.36,76.85,37.5,4295.0,141.0,459.0,6.0,0.0,0.0,0.0
68,2020-05-03,53.12,55.36,76.85,37.5,4474.0,179.0,463.0,4.0,0.0,0.0,0.0
69,2020-05-04,53.12,55.36,76.85,37.5,4648.0,174.0,465.0,2.0,0.0,0.0,0.0
70,2020-05-05,53.12,55.36,76.85,37.5,4838.0,190.0,470.0,5.0,0.0,0.0,0.0
71,2020-05-06,53.12,55.36,76.85,37.5,4997.0,159.0,476.0,6.0,0.0,0.0,0.0
72,2020-05-07,53.12,55.36,76.85,37.5,5182.0,185.0,483.0,7.0,0.0,0.0,0.0
73,2020-05-08,53.12,55.36,76.85,37.5,5369.0,187.0,488.0,5.0,0.0,0.0,0.0
74,2020-05-09,53.12,55.36,76.85,37.5,5558.0,189.0,494.0,6.0,0.0,0.0,0.0
75,2020-05-10,53.12,55.36,76.85,37.5,5723.0,165.0,502.0,8.0,0.0,0.0,0.0
76,2020-05-11,53.12,55.36,76.85,37.5,5891.0,168.0,507.0,5.0,0.0,0.0,0.0
77,2020-05-12,59.37,62.5,87.96,37.5,6067.0,176.0,515.0,8.0,0.0,0.0,0.0
78,2020-05-13,59.37,62.5,87.96,37.5,6253.0,186.0,522.0,7.0,0.0,0.0,0.0
79,2020-05-14,53.12,55.36,76.85,37.5,6442.0,189.0,529.0,7.0,0.0,0.0,0.0
80,2020-05-15,53.12,55.36,76.85,37.5,6629.0,187.0,536.0,7.0,0.0,0.0,0.0
81,2020-05-16,53.12,55.36,76.85,37.5,6821.0,192.0,542.0,6.0,0.0,0.0,0.0
82,2020-05-17,53.12,55.36,76.85,37.5,7019.0,198.0,548.0,6.0,0.0,0.0,0.0
83,2020-05-18,53.12,55.36,76.85,37.5,7201.0,182.0,555.0,7.0,0.0,0.0,0.0
84,2020-05-19,53.12,55.36,76.85,37.5,7377.0,176.0,561.0,6.0,0.0,0.0,0.0
85,2020-05-20,53.12,55.36,76.85,37.5,7542.0,165.0,568.0,7.0,0.0,0.0,0.0
86,2020-05-21,53.12,55.36,76.85,37.5,7728.0,186.0,575.0,7.0,0.0,0.0,0.0
87,2020-05-22,53.12,55.36,76.85,37.5,7918.0,190.0,582.0,7.0,0.0,0.0,0.0
88,2020-05-23,53.12,55.36,76.85,37.5,8113.0,195.0,592.0,10.0,0.0,0.0,0.0
89,2020-05-24,57.81,60.71,76.85,37.5,8306.0,193.0,600.0,8.0,0.0,0.0,0.0
90,2020-05-25,57.81,60.71,76.85,37.5,8503.0,197.0,609.0,9.0,0.0,0.0,0.0
91,2020-05-26,57.81,60.71,76.85,37.5,8697.0,194.0,617.0,8.0,0.0,0.0,0.0
92,2020-05-27,57.81,60.71,76.85,37.5,8857.0,160.0,623.0,6.0,0.0,0.0,0.0
93,2020-05-28,57.81,60.71,76.85,37.5,8997.0,140.0,630.0,7.0,0.0,0.0,0.0
94,2020-05-29,57.81,60.71,76.85,37.5,9134.0,137.0,638.0,8.0,0.0,0.0,0.0
95,2020-05-30,57.81,60.71,76.85,37.5,9267.0,133.0,646.0,8.0,0.0,0.0,0.0
96,2020-05-31,57.81,60.71,76.85,37.5,9394.0,127.0,653.0,7.0,0.0,0.0,0.0
97,2020-06-01,57.81,60.71,76.85,37.5,9513.0,119.0,661.0,8.0,0.0,0.0,0.0
98,2020-06-02,57.81,60.71,76.85,37.5,9626.0,113.0,667.0,6.0,0.0,0.0,0.0
99,2020-06-03,57.81,60.71,76.85,37.5,9733.0,107.0,673.0,6.0,0.0,0.0,0.0
100,2020-06-04,60.94,60.71,76.85,62.5,9831.0,98.0,681.0,8.0,0.0,0.0,0.0
101,2020-06-05,60.94,60.71,76.85,62.5,9935.0,104.0,690.0,9.0,0.0,0.0,0.0
102,2020-06-06,60.94,60.71,76.85,62.5,10050.0,115.0,698.0,8.0,0.0,0.0,0.0
103,2020-06-07,60.94,60.71,76.85,62.5,10154.0,104.0,707.0,9.0,0.0,0.0,0.0
104,2020-06-08,60.94,60.71,76.85,62.5,10265.0,111.0,715.0,8.0,0.0,0.0,0.0
105,2020-06-09,60.94,60.71,76.85,62.5,10382.0,117.0,724.0,9.0,0.0,0.0,0.0
106,2020-06-10,60.94,60.71,76.85,62.5,10484.0,102.0,732.0,8.0,0.0,0.0,0.0
107,2020-06-11,60.94,60.71,76.85,62.5,10589.0,105.0,741.0,9.0,0.0,0.0,0.0
108,2020-06-12,60.94,60.71,76.85,62.5,10698.0,109.0,751.0,10.0,0.0,0.0,0.0
109,2020-06-13,60.94,60.71,76.85,62.5,10810.0,112.0,760.0,9.0,0.0,0.0,0.0
110,2020-06-14,53.12,53.57,65.74,50.0,10919.0,109.0,767.0,7.0,0.0,0.0,0.0
111,2020-06-15,53.12,53.57,65.74,50.0,11031.0,112.0,777.0,10.0,0.0,0.0,0.0
112,2020-06-16,53.12,53.57,65.74,50.0,11147.0,116.0,788.0,11.0,0.0,0.0,0.0
113,2020-06-17,53.12,53.57,65.74,50.0,11268.0,121.0,799.0,11.0,0.0,0.0,0.0
114,2020-06-18,53.12,53.57,65.74,50.0,11385.0,117.0,811.0,12.0,0.0,0.0,0.0
115,2020-06-19,53.12,53.57,65.74,50.0,11504.0,119.0,825.0,14.0,0.0,0.0,0.0
116,2020-06-20,53.12,53.57,65.74,50.0,11631.0,127.0,837.0,12.0,0.0,0.0,0.0
117,2020-06-21,53.12,53.57,65.74,50.0,11771.0,140.0,845.0,8.0,0.0,0.0,0.0
118,2020-06-22,53.12,53.57,65.74,50.0,11920.0,149.0,852.0,7.0,0.0,0.0,0.0
119,2020-06-23,53.12,53.57,65.74,50.0,12076.0,156.0,861.0,9.0,0.0,0.0,0.0
120,2020-06-24,53.12,53.57,65.74,50.0,12248.0,172.0,869.0,8.0,0.0,0.0,0.0
121,2020-06-25,53.12,53.57,65.74,50.0,12445.0,197.0,878.0,9.0,0.0,0.0,0.0
122,2020-06-26,53.12,53.57,65.74,50.0,12685.0,240.0,885.0,7.0,0.0,0.0,0.0
123,2020-06-27,53.12,53.57,65.74,50.0,12968.0,283.0,892.0,7.0,0.0,0.0,0.0
124,2020-06-28,59.37,60.71,65.74,50.0,13273.0,305.0,897.0,5.0,0.0,0.0,0.0
125,2020-06-29,59.37,60.71,65.74,50.0,13571.0,298.0,905.0,8.0,0.0,0.0,0.0
126,2020-06-30,59.37,60.71,65.74,50.0,13907.0,336.0,912.0,7.0,0.0,0.0,0.0
127,2020-07-01,59.37,60.71,65.74,50.0,14272.0,365.0,920.0,8.0,0.0,0.0,0.0
128,2020-07-02,59.37,60.71,65.74,50.0,14657.0,385.0,928.0,8.0,0.0,0.0,0.0
129,2020-07-03,59.37,60.71,65.74,50.0,15070.0,413.0,937.0,9.0,0.0,0.0,0.0
130,2020-07-04,59.37,60.71,65.74,50.0,15500.0,430.0,946.0,9.0,0.0,0.0,0.0
131,2020-07-05,59.37,60.71,65.74,50.0,15941.0,441.0,952.0,6.0,0.0,0.0,0.0
132,2020-07-06,59.37,60.71,65.74,50.0,16404.0,463.0,959.0,7.0,0.0,0.0,0.0
133,2020-07-07,59.37,60.71,65.74,50.0,16879.0,475.0,968.0,9.0,0.0,0.0,0.0
134,2020-07-08,59.37,60.71,65.74,50.0,17348.0,469.0,978.0,10.0,0.0,0.0,0.0
135,2020-07-09,59.37,60.71,65.74,50.0,17808.0,460.0,988.0,10.0,0.0,0.0,0.0
136,2020-07-10,64.06,66.07,74.07,50.0,18242.0,434.0,996.0,8.0,0.0,0.0,0.0
137,2020-07-11,64.06,66.07,74.07,50.0,18712.0,470.0,1004.0,8.0,0.0,0.0,0.0
138,2020-07-12,64.06,66.07,74.07,50.0,19195.0,483.0,1011.0,7.0,0.0,0.0,0.0
139,2020-07-13,64.06,66.07,74.07,50.0,19689.0,494.0,1018.0,7.0,0.0,0.0,0.0
140,2020-07-14,64.06,66.07,74.07,50.0,20216.0,527.0,1028.0,10.0,0.0,0.0,0.0
141,2020-07-15,64.06,66.07,74.07,50.0,20770.0,554.0,1040.0,12.0,0.0,0.0,0.0
142,2020-07-16,64.06,66.07,74.07,50.0,21355.0,585.0,1052.0,12.0,0.0,0.0,0.0
143,2020-07-17,64.06,66.07,74.07,50.0,21948.0,593.0,1057.0,5.0,0.0,0.0,0.0
144,2020-07-18,64.06,66.07,74.07,50.0,22549.0,601.0,1068.0,11.0,0.0,0.0,0.0
145,2020-07-19,64.06,66.07,74.07,50.0,23084.0,535.0,1078.0,10.0,0.0,0.0,0.0
146,2020-07-20,64.06,66.07,74.07,50.0,23691.0,607.0,1087.0,9.0,0.0,0.0,0.0
147,2020-07-21,64.06,66.07,74.07,50.0,24278.0,587.0,1100.0,13.0,0.0,0.0,0.0
148,2020-07-22,64.06,66.07,74.07,50.0,24872.0,594.0,1111.0,11.0,0.0,0.0,0.0
149,2020-07-23,64.06,66.07,74.07,50.0,25484.0,612.0,1124.0,13.0,0.0,0.0,0.0
150,2020-07-24,64.06,66.07,74.07,50.0,26159.0,675.0,1136.0,12.0,0.0,0.0,0.0
151,2020-07-25,64.06,66.07,74.07,50.0,26764.0,605.0,1146.0,10.0,0.0,0.0,0.0
152,2020-07-26,64.06,66.07,74.07,50.0,27357.0,593.0,1155.0,9.0,0.0,0.0,0.0
153,2020-07-27,67.19,69.64,79.63,50.0,27973.0,616.0,1163.0,8.0,0.0,0.0,0.0
154,2020-07-28,67.19,69.64,79.63,50.0,28615.0,642.0,1174.0,11.0,0.0,0.0,0.0
155,2020-07-29,67.19,69.64,79.63,50.0,29229.0,614.0,1186.0,12.0,0.0,0.0,0.0
156,2020-07-30,67.19,69.64,79.63,50.0,29831.0,602.0,1200.0,14.0,0.0,0.0,0.0
157,2020-07-31,67.19,69.64,79.63,50.0,30394.0,563.0,1210.0,10.0,0.0,0.0,0.0
158,2020-08-01,67.19,69.64,79.63,50.0,30950.0,556.0,1223.0,13.0,0.0,0.0,0.0
159,2020-08-02,67.19,69.64,79.63,50.0,31465.0,515.0,1231.0,8.0,0.0,0.0,0.0
160,2020-08-03,67.19,69.64,79.63,50.0,31972.0,507.0,1239.0,8.0,0.0,0.0,0.0
161,2020-08-04,67.19,69.64,79.63,50.0,32504.0,532.0,1248.0,9.0,0.0,0.0,0.0
162,2020-08-05,67.19,69.64,79.63,50.0,33055.0,551.0,1261.0,13.0,0.0,0.0,0.0
163,2020-08-06,67.19,69.64,79.63,50.0,33626.0,571.0,1273.0,12.0,0.0,0.0,0.0
164,2020-08-07,67.19,69.64,79.63,50.0,34155.0,529.0,1282.0,9.0,0.0,0.0,0.0
165,2020-08-08,71.88,75.0,87.96,50.0,34693.0,538.0,1293.0,11.0,0.0,0.0,0.0
166,2020-08-09,71.88,75.0,87.96,50.0,35160.0,467.0,1302.0,9.0,0.0,0.0,0.0
167,2020-08-10,70.31,73.21,85.19,50.0,35712.0,552.0,1312.0,10.0,0.0,0.0,0.0
168,2020-08-11,70.31,73.21,85.19,50.0,36204.0,492.0,1322.0,10.0,0.0,0.0,0.0
169,2020-08-12,70.31,73.21,85.19,50.0,36699.0,495.0,1333.0,11.0,0.0,0.0,0.0
170,2020-08-13,70.31,73.21,85.19,50.0,37187.0,488.0,1341.0,8.0,0.0,0.0,0.0
171,2020-08-14,70.31,73.21,85.19,50.0,37664.0,477.0,1351.0,10.0,0.0,0.0,0.0
172,2020-08-15,60.94,62.5,68.52,50.0,38133.0,469.0,1360.0,9.0,0.0,0.0,0.0
173,2020-08-16,60.94,62.5,68.52,50.0,38583.0,450.0,1370.0,10.0,0.0,0.0,0.0
174,2020-08-17,60.94,62.5,68.52,50.0,39025.0,442.0,1379.0,9.0,0.0,0.0,0.0
175,2020-08-18,67.19,69.64,79.63,50.0,39444.0,419.0,1391.0,12.0,0.0,0.0,0.0
176,2020-08-19,67.19,69.64,79.63,50.0,39847.0,403.0,1402.0,11.0,0.0,0.0,0.0
177,2020-08-20,67.19,69.64,79.63,50.0,40258.0,411.0,1411.0,9.0,0.0,0.0,0.0
178,2020-08-21,67.19,69.64,79.63,50.0,40667.0,409.0,1418.0,7.0,0.0,0.0,0.0
179,2020-08-22,67.19,69.64,79.63,50.0,41068.0,401.0,1424.0,6.0,0.0,0.0,0.0
180,2020-08-23,67.19,69.64,79.63,50.0,41460.0,392.0,1435.0,11.0,0.0,0.0,0.0
181,2020-08-24,67.19,69.64,79.63,50.0,41858.0,398.0,1446.0,11.0,0.0,0.0,0.0
182,2020-08-25,67.19,69.64,79.63,50.0,42228.0,370.0,1456.0,10.0,0.0,0.0,0.0
183,2020-08-26,67.19,69.64,79.63,50.0,42619.0,391.0,1465.0,9.0,0.0,0.0,0.0
184,2020-08-27,67.19,69.64,79.63,50.0,43016.0,397.0,1475.0,10.0,0.0,0.0,0.0
185,2020-08-28,67.19,69.64,79.63,50.0,43403.0,387.0,1483.0,8.0,0.0,0.0,0.0
186,2020-08-29,67.19,69.64,79.63,50.0,43781.0,378.0,1491.0,8.0,0.0,0.0,0.0
187,2020-08-30,67.19,69.64,79.63,50.0,44146.0,365.0,1501.0,10.0,0.0,0.0,0.0
188,2020-08-31,67.19,69.64,79.63,50.0,44494.0,348.0,1510.0,9.0,0.0,0.0,0.0
189,2020-09-01,65.1,67.26,75.93,50.0,44833.0,339.0,1518.0,8.0,0.0,0.0,0.0
190,2020-09-02,65.1,67.26,75.93,50.0,45158.0,325.0,1523.0,5.0,0.0,0.0,0.0
191,2020-09-03,65.1,67.26,75.93,50.0,45469.0,311.0,1529.0,6.0,0.0,0.0,0.0
192,2020-09-04,65.1,67.26,75.93,50.0,45773.0,304.0,1539.0,10.0,0.0,0.0,0.0
193,2020-09-05,65.1,67.26,75.93,50.0,46071.0,298.0,1549.0,10.0,0.0,0.0,0.0
194,2020-09-06,65.1,67.26,75.93,50.0,46364.0,293.0,1556.0,7.0,0.0,0.0,0.0
195,2020-09-07,65.1,67.26,75.93,50.0,46653.0,289.0,1562.0,6.0,0.0,0.0,0.0
196,2020-09-08,65.1,67.26,75.93,50.0,46938.0,285.0,1571.0,9.0,0.0,0.0,0.0
197,2020-09-09,65.1,67.26,75.93,50.0,47216.0,278.0,1581.0,10.0,0.0,0.0,0.0
198,2020-09-10,65.1,67.26,75.93,50.0,47488.0,272.0,1591.0,10.0,0.0,0.0,0.0
199,2020-09-11,65.1,67.26,75.93,50.0,47752.0,264.0,1599.0,8.0,0.0,0.0,0.0
200,2020-09-12,65.1,67.26,75.93,50.0,48007.0,255.0,1605.0,6.0,0.0,0.0,0.0
201,2020-09-13,65.1,67.26,75.93,50.0,48254.0,247.0,1612.0,7.0,0.0,0.0,0.0
202,2020-09-14,65.1,67.26,75.93,50.0,48496.0,242.0,1620.0,8.0,0.0,0.0,0.0
203,2020-09-15,65.1,67.26,75.93,50.0,48734.0,238.0,1632.0,12.0,0.0,0.0,0.0
204,2020-09-16,65.1,67.26,75.93,50.0,48966.0,232.0,1645.0,13.0,0.0,0.0,0.0
205,2020-09-17,65.1,67.26,75.93,50.0,49194.0,228.0,1654.0,9.0,0.0,0.0,0.0
206,2020-09-18,65.1,67.26,75.93,50.0,49413.0,219.0,1659.0,5.0,0.0,0.0,0.0
207,2020-09-19,65.1,67.26,75.93,50.0,49623.0,210.0,1665.0,6.0,0.0,0.0,0.0
208,2020-09-20,65.1,67.26,75.93,50.0,49826.0,203.0,1672.0,7.0,0.0,0.0,0.0
209,2020-09-21,65.1,67.26,75.93,50.0,50023.0,197.0,1679.0,7.0,0.0,0.0,0.0
210,2020-09-22,65.1,67.26,75.93,50.0,50214.0,191.0,1689.0,10.0,0.0,0.0,0.0
211,2020-09-23,65.1,67.26,75.93,50.0,50400.0,186.0,1698.0,9.0,0.0,0.0,0.0
212,2020-09-24,65.1,67.26,75.93,50.0,50579.0,179.0,1703.0,5.0,0.0,0.0,0.0
213,2020-09-25,65.1,67.26,75.93,50.0,50754.0,175.0,1707.0,4.0,0.0,0.0,0.0
214,2020-09-26,65.1,67.26,75.93,50.0,50914.0,160.0,1711.0,4.0,0.0,0.0,0.0
215,2020-09-27,65.1,67.26,75.93,50.0,51067.0,153.0,1714.0,3.0,0.0,0.0,0.0
216,2020-09-28,65.1,67.26,75.93,50.0,51213.0,146.0,1719.0,5.0,0.0,0.0,0.0
217,2020-09-29,65.1,67.26,75.93,50.0,51368.0,155.0,1726.0,7.0,0.0,0.0,0.0
218,2020-09-30,65.1,67.26,75.93,50.0,51530.0,162.0,1736.0,10.0,0.0,0.0,0.0
219,2020-10-01,65.1,67.26,75.93,50.0,51690.0,160.0,1741.0,5.0,0.0,0.0,0.0
220,2020-10-02,65.1,67.26,75.93,50.0,51847.0,157.0,1749.0,8.0,0.0,0.0,0.0
221,2020-10-03,65.1,67.26,75.93,50.0,51995.0,148.0,1756.0,7.0,0.0,0.0,0.0
222,2020-10-04,65.1,67.26,75.93,50.0,52136.0,141.0,1760.0,4.0,0.0,0.0,0.0
223,2020-10-05,65.1,67.26,75.93,50.0,52270.0,134.0,1768.0,8.0,0.0,0.0,0.0
224,2020-10-06,65.1,67.26,75.93,50.0,52399.0,129.0,1768.0,0.0,0.0,0.0,0.0
225,2020-10-07,65.1,67.26,75.93,50.0,52520.0,121.0,1771.0,3.0,0.0,0.0,0.0
226,2020-10-08,65.1,67.26,75.93,50.0,52658.0,138.0,1783.0,12.0,0.0,0.0,0.0
227,2020-10-09,65.1,67.26,75.93,50.0,52804.0,146.0,1789.0,6.0,0.0,0.0,0.0
228,2020-10-10,65.1,67.26,75.93,50.0,52940.0,136.0,1795.0,6.0,0.0,0.0,0.0
229,2020-10-11,65.1,67.26,75.93,50.0,53072.0,132.0,1801.0,6.0,0.0,0.0,0.0
230,2020-10-12,65.1,67.26,75.93,50.0,53325.0,253.0,1809.0,8.0,0.0,0.0,0.0
231,2020-10-13,65.1,67.26,75.93,50.0,53399.0,74.0,1818.0,9.0,0.0,0.0,0.0
232,2020-10-14,65.1,67.26,75.93,50.0,53584.0,185.0,1827.0,9.0,0.0,0.0,0.0
233,2020-10-15,65.1,67.26,75.93,50.0,53777.0,193.0,1827.0,0.0,0.0,0.0,0.0
234,2020-10-16,65.1,67.26,75.93,50.0,53998.0,221.0,1841.0,14.0,0.0,0.0,0.0
235,2020-10-17,65.1,67.26,75.93,50.0,54203.0,205.0,1846.0,5.0,0.0,0.0,0.0
236,2020-10-18,65.1,67.26,75.93,50.0,54402.0,199.0,1856.0,10.0,0.0,0.0,0.0
237,2020-10-19,65.1,67.26,75.93,50.0,54616.0,214.0,1865.0,9.0,0.0,0.0,0.0
238,2020-10-20,65.1,67.26,75.93,50.0,54829.0,213.0,1873.0,8.0,0.0,0.0,0.0
239,2020-10-21,65.1,67.26,75.93,50.0,55081.0,252.0,1880.0,7.0,0.0,0.0,0.0
240,2020-10-22,64.58,66.67,75.0,50.0,55357.0,276.0,1888.0,8.0,0.0,0.0,0.0
241,2020-10-23,64.58,66.67,75.0,50.0,55630.0,273.0,1897.0,9.0,0.0,0.0,0.0
242,2020-10-24,64.58,66.67,75.0,50.0,55880.0,250.0,1907.0,10.0,0.0,0.0,0.0
243,2020-10-25,64.58,66.67,75.0,50.0,56143.0,263.0,1914.0,7.0,0.0,0.0,0.0
244,2020-10-26,64.58,66.67,75.0,50.0,56419.0,276.0,1922.0,8.0,0.0,0.0,0.0
245,2020-10-27,64.58,66.67,75.0,50.0,56706.0,287.0,1931.0,9.0,0.0,0.0,0.0
246,2020-10-28,64.58,66.67,75.0,50.0,57026.0,320.0,1941.0,10.0,0.0,0.0,0.0
247,2020-10-29,64.58,66.67,75.0,50.0,57332.0,306.0,1949.0,8.0,0.0,0.0,0.0
248,2020-10-30,64.58,66.67,75.0,50.0,57651.0,319.0,1956.0,7.0,0.0,0.0,0.0
249,2020-10-31,64.58,66.67,75.0,50.0,57942.0,291.0,1964.0,8.0,0.0,0.0,0.0
250,2020-11-01,64.58,66.67,75.0,50.0,58272.0,330.0,1973.0,9.0,0.0,0.0,0.0
251,2020-11-02,64.58,66.67,75.0,50.0,58574.0,302.0,1980.0,7.0,0.0,0.0,0.0
252,2020-11-03,64.58,66.67,75.0,50.0,58979.0,405.0,1980.0,0.0,0.0,0.0,0.0
253,2020-11-04,62.5,64.29,71.3,50.0,59527.0,548.0,1999.0,19.0,0.0,0.0,0.0
254,2020-11-05,62.5,64.29,71.3,50.0,60169.0,642.0,2011.0,12.0,0.0,0.0,0.0
255,2020-11-06,62.5,64.29,71.3,50.0,60800.0,631.0,2024.0,13.0,0.0,0.0,0.0
